연도,강간 강제추행 발생,강간 강제추행 검거,카메라 등 이용촬영 발생,카메라 등 이용촬영 검거,통신매체이용음란 발생,통신매체이용음란 검거,성적목적다중이용장소침입 발생,성적목적다중이용장소침입 검거
2014,21172,20045,6623,6361,1257,1187,465,441
2015,21352,20529,7623,7432,1135,1066,541,512
2016,22229,21475,5185,4904,1109,1042,470,442
2017,24106,23284,6465,6220,1249,1142,414,395
2018,23467,22633,5925,5613,1365,1218,639,581
2019,23531,22680,5762,5440,1437,1224,666,627
2020,21702,21063,5032,4744,2047,1701,686,629
2021,20267,19211,6212,5345,5067,3956,534,501
