연도,아파트_주택,노상,상점_노점,목욕탕_숙박업소,유흥업소,역대합실,지하철,기타교통수단,학교,기타
2016,5106,3973,684,2187,1878,1062,1292,968,424,11419
2017,5265,4447,811,2211,2068,1399,1661,1052,491,12829
2018,6700,3925,1095,2674,3252,1163,1513,1390,580,9104
2019,6900,3909,1181,2613,3556,1045,1504,1313,582,8793
2020,7263,3531,1172,2301,3199,746,862,1105,348,8940
2021,9093,3378,1094,1956,1873,719,969,930,423,9734
