구분,2014,2015,2016,2017,2018
서울,5473,5458,6019,6963,6412
부산,1560,1460,1325,1688,1463
대구,987,903,883,845,989
인천,1205,1297,1595,1694,1588
광주,833,750,701,725,720
대전,603,587,624,702,735
울산,445,445,430,411,427
경기남부,4612,5020,3856,4008,3823
경기북부,0,0,1265,1277,1285
강원,582,577,604,627,699
충북,526,572,626,707,680
충남,895,827,860,885,918
전북,688,646,593,605,676
전남,671,685,683,695,749
경북,772,812,774,841,871
경남,1000,1012,968,1058,1050
제주,320,301,423,375,382
